Atomic Num,Symbol,AtomicMass
1,H,1.00794
2,He,4.002602
3,Li,6.941
4,Be,9.012182
5,B,10.811
6,C,12.0107
7,N,14.0067
8,O,15.9994
9,F,18.9984032
10,Ne,20.1797
11,Na,22.98976928
12,Mg,24.305
13,Al,26.9815386
14,Si,28.0855
15,P,30.973762
16,S,32.065
17,Cl,35.453
18,Ar,39.948
19,K,39.0983
20,Ca,40.078
21,Sc,44.955912
22,Ti,47.867
23,V,50.9415
24,Cr,51.9961
25,Mn,54.938045
26,Fe,55.845
27,Co,58.933195
28,Ni,58.6934
29,Cu,63.546
30,Zn,65.38
31,Ga,69.723
32,Ge,72.63
33,As,74.922
34,Se,78.963
35,Br,79.904
36,Kr,83.798
37,Rb,85.468
38,Sr,87.62
39,Y,88.906
40,Zr,91.2224
41,Nb,92.906
42,Mo,95.96
43,Tc,97.91
44,Ru,101.07
45,Rh,102.91
46,Pd,106.42
47,Ag,107.8682
48,Cd,112.411
49,In,114.82
50,Sn,118.71
51,Sb,121.76
52,Te,127.6
53,I,126.90447
54,Xe,131.29
55,Cs,132.9054519
56,Ba,137.33
57,La,138.91
58,Ce,140.12
59,Pr,140.91
60,Nd,144.24
61,Pm,145
62,Sm,150.36
63,Eu,151.96
64,Gd,157.25
65,Tb,158.93
66,Dy,162.5
67,Ho,164.93
68,Er,167.26
69,Tm,168.93
70,Yb,173.08
71,Lu,174.94
72,Hf,178.49
73,Ta,180.95
74,W,183.84
75,Re,186.21
76,Os,190.23
77,Ir,192.22
78,Pt,195.084
79,Au,196.966569
80,Hg,200.59
81,Tl,204.38
82,Pb,207.2
83,Bi,208.9804
84,Po,208.98
85,At,209.99
86,Rn,222.02
87,Fr,223
88,Ra,226
89,Ac,227
90,Th,232.04
91,Pa,231.04
92,U,283.03
93,Np,237
94,Pu,244
